id,item_views
0,18
1,14
2,
3,19
4,59
5,101
6,24
7,20
8,19
9,12
10,20
11,18
12,16
13,14
14,13
15,11
16,21
17,17
18,17
19,7
20,39
21,7
22,43
23,22
24,7
25,22
26,23
27,15
28,33
29,10
30,9
31,1
32,10
33,11
34,28
35,25
36,50
37,26
38,23
39,12
40,8
41,12
42,14
43,22
44,22
45,24
46,16
47,26
48,19
49,13
50,17
51,22
52,15
53,21
54,30
55,10
56,10
57,33
58,9
59,9
60,9
61,20
62,17
63,15
64,23
65,23
66,8
67,14
68,8
69,13
70,15
71,9
72,7
73,22
74,23
75,9
76,11
77,14
78,28
79,15
80,33
81,10
82,18
83,13
84,14
85,19
86,14
87,39
88,13
89,27
90,15
91,16
92,8
93,31
94,16
95,17
96,14
97,12
98,26
99,182
100,28
101,12
102,17
103,21
104,11
105,7
106,9
107,6
108,43
109,24
110,28
111,15
112,10
113,13
114,12
115,41
116,9
117,11
118,10
119,20
120,10
121,30
122,17
123,13
124,26
125,7
126,15
127,19
128,10
129,17
130,185
131,33
132,247
133,52
134,96
135,124
136,79
137,151
138,337
139,547
140,183
141,336
142,48
143,281
144,492
145,133
146,155
147,76
148,95
149,477
150,406
151,70
152,397
153,52
154,362
155,231
156,404
157,468
158,35
159,327
160,247
161,253
162,2
163,197
164,213
165,287
166,682
167,49
168,113
169,215
170,203
171,75
172,533
173,83
174,322
175,576
176,578
177,295
178,84
179,210
180,241
181,42
182,153
183,75
184,526
185,307
186,285
187,277
188,979
189,606
190,99
191,372
192,99
193,178
194,872
195,145
196,68
197,349
198,354
199,261
200,119
201,353
202,890
203,138
204,184
205,166
206,74
207,239
208,910
209,546
210,248
211,137
212,206
213,443
214,73
215,435
216,641
217,416
218,276
219,540
220,1015
221,57
222,236
223,8
224,18
225,17
226,14
227,8
228,13
229,14
230,12
231,9
232,21
233,13
234,28
235,17
236,52
237,30
238,19
239,8
240,14
241,12
242,20
243,11
244,10
245,7
246,21
247,18
248,19
249,8
250,24
251,16
252,26
253,19
254,33
255,8
256,25
257,11
258,12
259,6
260,19
261,17
262,16
263,11
264,7
265,17
266,8
267,11
268,14
269,29
270,28
271,14
272,8
273,11
274,14
275,6
276,14
277,7
278,5
279,36
280,10
281,11
282,10
283,199
284,68
285,114
286,116
287,183
288,109
289,213
290,503
291,87
292,189
293,73
294,172
295,161
296,93
297,249
298,51
299,70
300,80
301,416
302,184
303,126
304,95
305,230
306,237
307,246
308,140
309,76
310,122
311,420
312,100
313,136
314,190
315,52
316,134
317,44
318,67
319,119
320,89
321,389
322,120
323,142
324,344
325,63
326,667
327,405
328,88
329,153
330,39
331,110
332,122
333,125
334,231
335,660
336,139
337,230
338,167
339,84
340,159
341,389
342,132
343,399
344,140
345,169
346,214
347,285
348,91
349,210
350,1139
351,267
352,64
353,37
354,41
355,127
356,108
357,51
358,211
359,115
360,100
361,1052
362,171
363,553
364,212
365,105
366,113
367,302
368,315
369,61
370,133
371,751
372,134
373,238
374,475
375,74
376,133
377,57
378,198
379,718
380,124
381,172
382,264
383,69
384,141
385,200
386,87
387,161
388,139
389,111
390,216
391,92
392,216
393,148
394,96
395,105
396,86
397,515
398,102
399,209
400,83
401,186
402,211
403,61
404,95
405,24
406,75
407,95
408,125
409,57
410,323
411,172
412,139
413,231
414,130
415,110
416,191
417,66
418,295
419,75
420,130
421,68
422,81
423,108
424,144
425,51
426,213
427,63
428,86
429,360
430,546
431,105
432,209
433,172
434,101
435,120
436,248
437,83
438,95
439,199
440,151
441,474
442,252
443,586
444,181
445,1373
446,169
447,34
448,389
449,185
450,135
451,19
452,2
453,145
454,83
455,810
456,68
457,316
458,667
459,154
460,135
461,100
462,30
463,406
464,88
465,59
466,42
467,66
468,127
469,175
470,235
471,240
472,70
473,272
474,145
475,365
476,371
477,403
478,113
479,52
480,59
481,307
482,234
483,229
484,207
485,223
486,72
487,382
488,35
489,19
490,22
491,14
492,25
493,27
494,21
495,3
496,24
497,16
498,15
499,25
500,29
501,31
502,15
503,29
504,28
505,24
506,27
507,22
508,37
509,44
510,61
511,45
512,34
513,17
514,19
515,34
516,36
517,51
518,28
519,32
520,85
521,23
522,18
523,30
524,23
525,41
526,20
527,25
528,13
529,23
530,217
531,64
532,249
533,150
534,148
535,113
536,19
537,23
538,16
539,8
540,17
541,10
542,11
543,141
544,11
545,21
546,22
547,18
548,13
549,21
550,49
551,15
552,10
553,15
554,9
555,12
556,7
557,7
558,9
559,10
560,13
561,13
562,24
563,7
564,5
565,7
566,12
567,12
568,13
569,10
570,12
571,8
572,12
573,11
574,12
575,9
576,14
577,20
578,12
579,8
580,9
581,3
582,11
583,22
584,20
585,34
586,11
587,11
588,16
589,15
590,14
591,18
592,0
593,16
594,16
595,7
596,16
597,12
598,5
599,12
600,8
601,12
602,13
603,11
604,12
605,13
606,10
607,12
608,13
609,7
610,14
611,20
612,22
613,17
614,10
615,29
616,29
617,28
618,19
619,12
620,12
621,12
622,19
623,11
624,12
625,13
626,6
627,7
628,47
629,9
630,20
631,9
632,6
633,17
634,17
635,10
636,47
637,7
638,30
639,14
640,7
641,7
642,25
643,19
644,29
645,12
646,9
647,14
648,16
649,10
650,13
651,23
652,13
653,22
654,14
655,12
656,10
657,7
658,11
659,9
660,9
661,11
662,23
663,12
664,20
665,16
666,22
667,15
668,13
669,8
670,11
671,13
672,21
673,12
674,11
675,9
676,32
677,13
678,11
679,17
680,12
681,19
682,11
683,12
684,8
685,10
686,7
687,17
688,7
689,14
690,10
691,13
692,13
693,20
694,13
695,12
696,12
697,8
698,89
699,8
700,24
701,18
702,10
703,9
704,22
705,12
706,10
707,8
708,14
709,15
710,15
711,21
712,23
713,11
714,13
715,50
716,15
717,16
718,24
719,49
720,40
721,12
722,13
723,267
724,631
725,381
726,478
727,121
728,259
729,64
730,129
731,200
732,109
733,167
734,117
735,142
736,32
737,88
738,282
739,47
740,34
741,111
742,146
743,45
744,305
745,41
746,206
747,142
748,16
749,185
750,33
751,63
752,100
753,75
754,76
755,123
756,166
757,327
758,75
759,131
760,283
761,475
762,169
763,78
764,49
765,49
766,68
767,213
768,95
769,71
770,25
771,151
772,46
773,203
774,20
775,37
776,53
777,86
778,16
779,104
780,35
781,64
782,54
783,147
784,21
785,26
786,61
787,45
788,148
789,87
790,111
791,32
792,30
793,98
794,55
795,33
796,38
797,33
798,35
799,29
800,41
801,112
802,29
803,29
804,30
805,109
806,167
807,101
808,36
809,72
810,23
811,77
812,114
813,27
814,122
815,213
816,61
817,70
818,106
819,39
820,20
821,53
822,31
823,128
824,79
825,26
826,33
827,71
828,91
829,132
830,33
831,67
832,2
833,29
834,76
835,79
836,33
837,14
838,62
839,42
840,19
841,66
842,50
843,34
844,103
845,66
846,16
847,26
848,86
849,47
850,24
851,116
852,52
853,93
854,153
855,118
856,71
857,111
858,34
859,58
860,39
861,38
862,41
863,130
864,29
865,101
866,92
867,30
868,14
869,23
870,36
871,47
872,46
873,102
874,48
875,52
876,38
877,150
878,59
879,114
880,19
881,28
882,66
883,128
884,55
885,82
886,99
887,29
888,23
889,103
890,37
891,145
892,120
893,18
894,83
895,37
896,128
897,75
898,33
899,139
900,75
901,22
902,56
903,26
904,19
905,38
906,61
907,42
908,11
909,38
910,56
911,58
912,171
